xavena,y avena,x amaranto,y amaranto,x quinua ,y quinua,x frijol ,y frijol,x ft,yft,x len,ylen,x haba,y haba,x garb,y garb,x esp,y esp,x  champi,y champi,x chap,y chap
0,7,0,0,0,1,0,14,0,7,0,0,0,0,0,3,0,167,0,0,0,0
5,10,5,3,5,2,5,19,5,13,5,0,5,0,5,9,5,500,5,2,5,0
10,13,10,8,10,3,10,23,10,18,10,1,10,1,10,14,10,826,10,10,10,1
15,17,15,13,15,3,15,27,15,24,15,3,15,3,15,19,15,1145,15,17,15,3
20,20,20,17,20,4,20,32,20,29,20,5,20,5,20,24,20,1457,20,23,20,4
25,23,25,22,25,4,25,36,25,34,25,7,25,7,25,29,25,1761,25,30,25,6
30,26,30,26,30,5,30,40,30,38,30,9,30,10,30,34,30,2059,30,36,30,7
35,28,35,30,35,6,35,44,35,43,35,11,35,12,35,38,35,2350,35,41,35,9
40,31,40,33,40,6,40,47,40,47,40,13,40,14,40,42,40,2634,40,47,40,10
45,34,45,37,45,7,45,51,45,52,45,15,45,16,45,47,45,2911,45,52,45,11
50,36,50,40,50,8,50,54,50,56,50,16,50,18,50,51,50,3181,50,57,50,13
55,39,55,44,55,8,55,58,55,59,55,18,55,20,55,55,55,3445,55,61,55,14
60,41,60,47,60,9,60,61,60,63,60,20,60,22,60,58,60,3703,60,66,60,15
65,44,65,50,65,9,65,64,65,67,65,22,65,24,65,62,65,3954,65,70,65,17
70,46,70,52,70,10,70,67,70,70,70,23,70,26,70,65,70,4198,70,74,70,18
75,48,75,55,75,11,75,70,75,74,75,25,75,28,75,69,75,4437,75,77,75,19
80,50,80,57,80,11,80,73,80,77,80,27,80,29,80,72,80,4669,80,81,80,21
85,52,85,60,85,12,85,76,85,80,85,28,85,31,85,75,85,4895,85,84,85,22
90,54,90,62,90,12,90,79,90,83,90,30,90,33,90,78,90,5115,90,87,90,23
95,56,95,64,95,13,95,81,95,85,95,32,95,35,95,81,95,5329,95,89,95,25
100,58,100,66,100,13,100,83,100,88,100,33,100,36,100,83,100,5537,100,92,100,26
105,60,105,68,105,14,105,86,105,90,105,35,105,38,105,86,105,5739,105,94,105,27
110,61,110,70,110,15,110,88,110,93,110,36,110,40,110,88,110,5936,110,96,110,28
115,63,115,71,115,15,115,90,115,95,115,38,120,43,115,91,115,6127,115,98,115,29
120,64,120,73,120,16,120,92,120,97,120,39,130,46,120,93,120,6312,120,100,120,31
125,66,125,74,125,16,125,94,125,99,125,40,140,49,125,95,125,6492,125,102,125,32
130,67,130,75,130,17,130,96,130,101,130,42,150,51,130,97,130,6666,130,103,130,33
135,69,135,77,135,18,135,98,135,103,135,43,180,59,135,99,135,6835,135,105,135,34
140,70,140,78,140,18,140,99,140,104,140,45,200,63,140,101,140,6999,140,106,140,35
145,71,145,79,145,19,145,101,145,106,145,46,300,80,145,102,145,7157,145,107,145,36
150,72,150,80,150,19,150,103,150,107,150,47,400,89,150,104,150,7310,150,108,150,38
155,73,155,80,155,20,155,104,155,108,155,48,440,91,155,105,155,7459,155,109,155,39
160,74,160,81,160,20,160,105,160,110,160,50,600,96,160,107,160,7602,160,110,160,40
165,75,165,82,165,21,165,107,165,111,165,51,680,100,165,108,165,7741,165,110,165,41
